"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"2","0.003363000","fe80::fdfb:dd27:fbfd:f891","ff02::1:ff30:bdcd","ICMPv6","86","Neighbor Solicitation for fe80::2a3b:82ff:fe30:bdcd from 00:21:97:03:b1:aa"
"3","0.003435000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M16.JMQIDCG.COM<00>"
"4","0.005338000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"5","0.006359000","fe80::fdfb:dd27:fbfd:f891","ff02::1:3","LLMNR","89","Standard query 0x81b6  ANY comp12-PC"
"6","0.006547000","10.10.14.2","224.0.0.252","LLMNR","69","Standard query 0x81b6  ANY comp12-PC"
"7","0.009551000","Dell_fd:b3:9b","Broadcast","ARP","60","Who has 10.10.12.179?  Tell 10.10.12.135"
"8","0.011124000","fe80::d452:93c9:5a22:ea97","ff02::1:ff22:ea97","ICMPv6","86","Multicast Listener Report"
"9","0.013233000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"10","0.015802000","10.10.11.37","224.0.0.251","MDNS","119","Standard query 0x0003  PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"11","0.019036000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M19.WUBAJIN.NET<00>"
"12","0.019296000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"13","0.020649000","fe80::59bc:b4ed:1cd7:a08a","ff02::1:ffd7:a08a","ICMPv6","86","Multicast Listener Report"
"14","0.027941000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"15","0.033265000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"16","0.034746000","fe80::be30:5bff:fe99:a7cc","ff02::1:ff99:a7cc","ICMPv6","86","Multicast Listener Report"
"17","0.039504000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"18","0.042052000","10.10.15.17","10.10.15.255","NBNS","92","Name query NB SWLAB05<20>"
"19","0.042475000","f4:8e:38:78:36:f6","Broadcast","ARP","60","Who has 10.10.15.17?  Tell 10.10.12.248"
"20","0.045470000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"21","0.050329000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M18.RWBMKDQ.CC<00>"
"22","0.051056000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M1.PLZIAFL.COM<00>"
"23","0.051518000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"24","0.057548000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"25","0.061585000","88:b4:a6:1a:a2:7d","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"26","0.064440000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"27","0.065082000","10.10.15.17","10.10.15.255","NBNS","92","Name query NB SWLAB05<20>"
"28","0.070441000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"29","0.076512000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"30","0.077631000","fe80::7a45:c4ff:fe29:12df","ff02::1:2","DHCPv6","115","Information-request XID: 0xc96c70 CID: 00046478ddbc39676249ab9c64ef195e5087 "
"31","0.082512000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"32","0.084563000","10.10.15.118","10.10.15.255","UDP","62","Source port: terminaldb  Destination port: terminaldb"
"33","0.085053000","10.10.15.118","10.10.15.255","UDP","62","Source port: raid-am  Destination port: raid-am"
"34","0.088568000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"35","0.092145000","10.10.10.1","10.10.13.169","DNS","117","Standard query response 0xb61d  AAAA 2404:6800:4009:80c::2003"
"36","0.094563000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"37","0.095983000","10.10.10.1","10.10.13.169","DNS","105","Standard query response 0xb4b0  A 172.217.166.99"
"38","0.098639000","fe80::ca1f:66ff:fe06:4fb6","ff02::1:ff06:4fb6","ICMPv6","86","Multicast Listener Report"
"39","0.100625000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"40","0.105843000","fe80::9458:5072:975c:f311","ff02::1:ff5c:f311","ICMPv6","86","Multicast Listener Report"
