"No.","Time","Source","Destination","Protocol","Length","Info"
"41","0.106459000","fe80::fdfb:dd27:fbfd:f891","ff02::1:3","LLMNR","89","Standard query 0x81b6  ANY comp12-PC"
"42","0.106478000","10.10.14.2","224.0.0.252","LLMNR","69","Standard query 0x81b6  ANY comp12-PC"
"43","0.107395000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"44","0.108356000","fe80::7d91:f2ec:e76b:15ca","ff02::1:ff6b:15ca","ICMPv6","86","Multicast Listener Report"
"45","0.111092000","fe80::a9cb:7e0f:52d9:221b","ff02::1:ffd9:221b","ICMPv6","86","Multicast Listener Report"
"46","0.113366000","fe80::c865:afde:39b4:2979","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"47","0.113788000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"48","0.113986000","fe80::c865:afde:39b4:2979","ff02::1:3","LLMNR","86","Standard query 0x8b26  ANY vlsi06"
"49","0.114215000","10.10.11.160","224.0.0.252","LLMNR","66","Standard query 0x8b26  ANY vlsi06"
"50","0.117615000","fe80::e597:b860:3d2:73a7","ff02::1:ff6a:bb5c","ICMPv6","86","Neighbor Solicitation for fe80::b3:42fd:c46a:bb5c from 00:1a:a0:b2:39:6a"
"51","0.118266000","fe80::e597:b860:3d2:73a7","ff02::1:ffd2:73a7","ICMPv6","86","Multicast Listener Report"
"52","0.118638000","52.88.12.211","10.10.10.130","TCP","66","https > 45901 [FIN, ACK] Seq=1 Ack=1 Win=126 Len=0 TSval=11795341 TSecr=4294853690"
"53","0.118673000","10.10.10.130","52.88.12.211","TCP","66","45901 > https [ACK] Seq=1 Ack=2 Win=304 Len=0 TSval=4294853966 TSecr=11795341"
"54","0.120177000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"55","0.126204000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"56","0.132253000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"57","0.137045000","fe80::726d:ecff:fe02:1d2","ff02::1:ff02:1d2","ICMPv6","86","Multicast Listener Report"
"58","0.137615000","fe80::b4fc:bfad:99c:cb04","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"59","0.138270000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"60","0.144335000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"61","0.150716000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"62","0.157128000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"63","0.159699000","cc:98:91:37:97:53","Broadcast","0x8899","60","Ethernet II"
"64","0.159815000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB V1.QEYLZBC.RU<00>"
"65","0.159940000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M38.JWJCMAH.NET<00>"
"66","0.160063000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M10.XRUOGMA.COM<00>"
"67","0.160238000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M3.JKFUEXP.ORG<00>"
"68","0.163486000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"69","0.169535000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"70","0.171880000","10.10.10.1","10.10.12.166","DNS","1155","Standard query response 0x59c7  CNAME d13vvqr7dxay1j.cloudfront.net AAAA 2600:9000:2022:2400:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:9e00:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:b000:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:e400:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:9a00:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:400:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:9000:1e:2003:f5c0:93a1 AAAA 2600:9000:2022:5400:1e:2003:f5c0:93a1"
"71","0.175946000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"72","0.177709000","fe80::d5e9:eb85:ddc0:759b","ff02::1:ffc0:759b","ICMPv6","86","Multicast Listener Report"
"73","0.181953000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"74","0.188461000","10.10.12.24","10.10.15.255","NBNS","92","Name query NB WPAD<00>"
"75","0.195388000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"76","0.200999000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"77","0.206594000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"78","0.211935000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"79","0.217555000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"80","0.221865000","fe80::c865:afde:39b4:2979","ff02::1:3","LLMNR","86","Standard query 0x8b26  ANY vlsi06"
"81","0.221923000","10.10.11.160","224.0.0.252","LLMNR","66","Standard query 0x8b26  ANY vlsi06"
"82","0.230289000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M28.EEMNCKG.ME<00>"
"83","0.231179000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M6.RKRHUUW.COM<00>"
"84","0.231311000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M29.WUBAJIN.NET<00>"
"85","0.231402000","Micro-St_93:c8:b5","Broadcast","ARP","60","Who has 10.10.10.1?  Tell 10.10.12.93"
"86","0.232522000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M12.OOFEFEP.NET<00>"
"87","0.233054000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"88","0.237826000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M32.CHANNOJ.COM<00>"
"89","0.237915000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M14.IQWFMFI.NET<00>"
"90","0.238653000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"91","0.239539000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M30.QXZKSEM.ME<00>"
"92","0.243996000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"93","0.249283000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"94","0.251015000","fe80::6508:d80c:c8ce:134c","ff02::1:ffce:134c","ICMPv6","86","Multicast Listener Report"
"95","0.251607000","fe80::725a:acff:fe8f:b33e","ff02::158","ICMPv6","86","Multicast Listener Report"
"96","0.254893000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"97","0.258011000","fe80::8ee7:48ff:fe2c:2ec8","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"98","0.258330000","10.10.10.164","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"99","0.263447000","fe80::6d1e:15f1:129d:2127","ff02::1:ff9d:2127","ICMPv6","86","Multicast Listener Report"
"100","0.265433000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"101","0.271125000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"102","0.271655000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M35.JKGNCYK.COM<00>"
"103","0.274649000","fe80::99bb:f07d:9e41:28d8","ff02::1:ff41:28d8","ICMPv6","86","Multicast Listener Report"
"104","0.276724000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"105","0.280491000","fe80::6f69:95c6:1648:93dd","ff02::1:ff48:93dd","ICMPv6","86","Multicast Listener Report"
"106","0.280895000","fe80::726d:ecff:fe02:21b","ff02::1:ff02:21b","ICMPv6","86","Multicast Listener Report"
"107","0.282352000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"108","0.284739000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M9.CFQRYRC.COM<00>"
"109","0.286257000","fe80::7a45:c4ff:fe29:dc0","ff02::1:ff29:dc0","ICMPv6","86","Multicast Listener Report"
"110","0.290387000","fe80::726d:ecff:fe02:209","ff02::1:ff02:209","ICMPv6","86","Multicast Listener Report"
"111","0.292052000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"112","0.297361000","10.10.11.88","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"113","0.297406000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"114","0.298386000","fe80::4485:a35b:c3e1:b448","ff02::1:ffe1:b448","ICMPv6","86","Multicast Listener Report"
"115","0.303369000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"116","0.308647000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"117","0.312777000","fe80::55db:8e5e:f749:844c","ff02::1:ff49:844c","ICMPv6","86","Multicast Listener Report"
"118","0.315633000","10.10.15.118","10.10.15.255","UDP","62","Source port: terminaldb  Destination port: terminaldb"
"119","0.317815000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"120","0.319078000","10.10.15.118","10.10.15.255","UDP","62","Source port: raid-am  Destination port: raid-am"
"121","0.324441000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"122","0.327272000","fe80::550d:4e92:e83d:58a7","ff02::1:ff3d:58a7","ICMPv6","86","Multicast Listener Report"
"123","0.327868000","10.10.10.130","172.217.163.174","TCP","66","56182 > http [ACK] Seq=1 Ack=1 Win=273 Len=0 TSval=4294854176 TSecr=3885847864"
"124","0.330679000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"125","0.331261000","fe80::7876:c84c:e462:f148","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"126","0.337064000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"127","0.337088000","fe80::b283:feff:fe84:34eb","ff02::1:ff84:34eb","ICMPv6","86","Multicast Listener Report"
"128","0.343124000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"129","0.349438000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"130","0.355860000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"131","0.357314000","172.217.163.174","10.10.10.130","TCP","66","[TCP ACKed unseen segment] http > 56182 [ACK] Seq=1 Ack=2 Win=252 Len=0 TSval=3885857911 TSecr=4294814010"
"132","0.361869000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"133","0.362807000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M41.MOSAEFR.CC<00>"
"134","0.364700000","fe80::8616:f9ff:fe47:7e08","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"135","0.368230000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"136","0.374239000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"137","0.378450000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M36.WYEYHGY.COM<00>"
"138","0.380291000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"139","0.381153000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M39.IFZWMWE.COM<00>"
"140","0.383838000","fe80::1e8c:9964:3f30:ade2","ff02::1:ff30:ade2","ICMPv6","86","Multicast Listener Report"
"141","0.384092000","fe80::7a45:c4ff:fe29:12ba","ff02::1:ff29:12ba","ICMPv6","86","Multicast Listener Report"
"142","0.386347000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"143","0.388467000","fe80::ca1f:66ff:fe05:ead0","ff02::1:ff05:ead0","ICMPv6","86","Multicast Listener Report"
"144","0.392396000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"145","0.394086000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M31.BLGUJZI.COM<00>"
"146","0.396930000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M37.MXYBAWP.CC<00>"
"147","0.398385000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"148","0.398988000","fe80::f68e:38ff:fe87:a636","ff02::1:ff87:a636","ICMPv6","86","Multicast Listener Report"
"149","0.404437000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"150","0.406721000","10.10.10.218","10.10.15.255","NBNS","110","Registration NB MPLAB12<00>"
"151","0.410435000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"152","0.410583000","10.10.13.164","224.0.0.251","MDNS","120","Standard query 0x0000  PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"153","0.410883000","fe80::b3:42fd:c46a:bb5c","ff02::fb","MDNS","140","Standard query 0x0000  PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question"
"154","0.412148000","fe80::c865:afde:39b4:2979","ff02::1:3","LLMNR","95","Standard query 0x9610  AAAA WIN-JJVQTFUFFR8"
"155","0.412380000","10.10.11.160","224.0.0.252","LLMNR","75","Standard query 0x9610  AAAA WIN-JJVQTFUFFR8"
"156","0.412711000","10.10.15.118","10.10.15.255","UDP","62","Source port: raid-am  Destination port: raid-am"
"157","0.417258000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"158","0.423334000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"159","0.425388000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M40.IUETOJU.COM<00>"
"160","0.425695000","fe80::a6af:f451:7fa5:831f","ff02::1:ffa5:831f","ICMPv6","86","Multicast Listener Report"
"161","0.429310000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"162","0.435391000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"163","0.441358000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"164","0.447431000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"165","0.447832000","fe80::4a4d:7eff:feca:7ff3","ff02::1:ffca:7ff3","ICMPv6","86","Multicast Listener Report"
"166","0.448866000","fe80::b283:feff:fe84:3707","ff02::1:ff84:3707","ICMPv6","86","Multicast Listener Report"
"167","0.449404000","fe80::31a7:422:1b73:c5b5","ff02::1:ff73:c5b5","ICMPv6","86","Multicast Listener Report"
"168","0.459441000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"169","0.464731000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"170","0.465845000","10.10.15.155","10.10.15.255","NBNS","92","Name query NB PHADKE-PC<20>"
"171","0.469983000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"172","0.474844000","fe80::e8e3:d857:7b78:6ad","ff02::1:ff78:6ad","ICMPv6","86","Multicast Listener Report"
"173","0.475317000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"174","0.476633000","fe80::40f:2143:91b0:336a","ff02::1:ffb0:336a","ICMPv6","86","Multicast Listener Report"
"175","0.485677000","Cisco_7f:6f:0a","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 38  Port = 0x800a"
"176","0.487285000","fe80::17d4:e3be:7cbb:7ea","ff02::fb","MDNS","107","Standard query 0x0000  PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"177","0.494393000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"178","0.500440000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"179","0.503511000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M5.FTHOAIU.COM<00>"
"180","0.505478000","84:16:f9:58:66:b8","Broadcast","ARP","60","Who has 10.10.12.93?  Tell 10.10.16.10"
"181","0.506427000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"182","0.512538000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"183","0.518595000","10.10.11.160","224.0.0.252","LLMNR","75","Standard query 0x9610  AAAA WIN-JJVQTFUFFR8"
"184","0.518630000","fe80::c865:afde:39b4:2979","ff02::1:3","LLMNR","95","Standard query 0x9610  AAAA WIN-JJVQTFUFFR8"
"185","0.521946000","10.10.15.118","10.10.15.255","UDP","62","Source port: terminaldb  Destination port: terminaldb"
"186","0.523417000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M25.AQFYRGB.IN<00>"
"187","0.525789000","fe80::c52e:f46f:d4b0:88ec","ff02::1:ffb0:88ec","ICMPv6","86","Multicast Listener Report"
"188","0.526456000","10.10.15.118","10.10.15.255","UDP","62","Source port: raid-am  Destination port: raid-am"
"189","0.566272000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M22.WPQJAQZ.COM<00>"
"190","0.566306000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M21.KHBUTLA.CC<00>"
"191","0.566316000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M13.IUETOJU.COM<00>"
"192","0.582774000","fe80::2d17:f638:2788:1ba6","ff02::1:ff88:1ba6","ICMPv6","86","Multicast Listener Report"
"193","0.602928000","Dell_06:31:a1","Broadcast","ARP","60","Who has 10.10.10.239?  Tell 10.10.15.164"
"194","0.603924000","Dell_82:14:d3","Broadcast","ARP","60","Who has 10.10.11.76?  Tell 10.10.13.112"
"195","0.605486000","fe80::f24d:a2ff:fefd:df91","ff02::1:fffd:df91","ICMPv6","86","Multicast Listener Report"
"196","0.609838000","fe80::9117:25ad:ae3d:dd74","ff02::1:ff3d:dd74","ICMPv6","86","Multicast Listener Report"
"197","0.620856000","fe80::f68e:38ff:fe87:42ef","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"198","0.630596000","10.10.15.118","10.10.15.255","UDP","62","Source port: terminaldb  Destination port: terminaldb"
"199","0.644093000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M15.RUQHLIU.NET<00>"
"200","0.654909000","::","ff02::1:ff1a:a27d","ICMPv6","78","Neighbor Solicitation for fe80::8ab4:a6ff:fe1a:a27d"
"201","0.658629000","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"202","0.662361000","fe80::725a:acff:fe8f:b33e","ff05::158","ICMPv6","86","Multicast Listener Report"
"203","0.662548000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M0.KSTPCRI.ORG<00>"
"204","0.670663000","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0x40c95be7"
"205","0.670975000","Dell_05:e0:1a","Broadcast","ARP","60","Who has 192.168.8.36?  Tell 192.168.8.3"
"206","0.671687000","18:a6:f7:fe:55:36","Broadcast","ARP","60","Who has 192.168.0.155?  Tell 192.168.0.1"
"207","0.671702000","98:de:d0:30:d3:cc","Broadcast","ARP","60","Who has 10.10.19.127?  Tell 10.10.19.200"
"208","0.672908000","Netgear_dc:ac:64","Broadcast","ARP","60","Who has 192.168.1.10?  Tell 192.168.1.1"
"209","0.673117000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"210","0.673432000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"211","0.673710000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"212","0.674047000","fe80::7a45:c4ff:fe29:1a46","ff02::1:ff29:1a46","ICMPv6","86","Multicast Listener Report"
"213","0.674112000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"214","0.674122000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"215","0.674126000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"216","0.674184000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"217","0.674189000","Dell_06:31:9d","Broadcast","ARP","60","Who has 10.10.12.93?  Tell 10.10.10.218"
"218","0.674455000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"219","0.674477000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"220","0.674504000","84:16:f9:61:91:3c","Broadcast","ARP","60","Gratuitous ARP for 192.168.1.1 (Request) (duplicate use of 192.168.1.1 detected!)"
"221","0.677646000","10.10.12.24","10.10.15.255","NBNS","92","Name query NB WPAD<00>"
"222","0.680914000","fe80::2080:f149:4592:24d8","ff02::1:ff92:24d8","ICMPv6","86","Multicast Listener Report"
"223","0.681512000","0.0.0.0","255.255.255.255","DHCP","344","DHCP Request  - Transaction ID 0x40c95be7"
"224","0.682602000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M11.JJARTCM.COM<00>"
"225","0.683147000","192.168.31.1","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0x40c95be7"
"226","0.683260000","192.168.1.1","255.255.255.255","DHCP","548","DHCP NAK      - Transaction ID 0x40c95be7 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"227","0.690969000","10.10.12.93","10.10.15.255","NBNS","92","Name query NB M33.YWIDDJD.BIZ<00>"
"228","0.691548000","fe80::755a:48ef:c16e:8340","ff02::1:ff6e:8340","ICMPv6","86","Multicast Listener Report"
"229","0.721984000","fe80::726d:ecff:fe02:212","ff02::1:ff02:212","ICMPv6","86","Multicast Listener Report"
